,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
722,"electricity mix, SBB",CH,kWh,0,electricity,supply mix,1.24,0.016462,13.3,0.017442,,
721,"electricity mix, aluminium industry",GLO,kWh,0,electricity,supply mix,5.85,0.31368,53.6,0.33355,,
749,"electricity, high voltage, SBB, at grid",CH,kWh,0,electricity,supply mix,1.26,0.017039,13.5,0.019578,,
5861,"electricity, high voltage, aluminium industry, at grid",GLO,kWh,0,electricity,supply mix,5.92,0.31733,53.6,0.33895,,
723,"electricity, high voltage, at grid",CH,kWh,0,electricity,supply mix,7.99,0.10633,13.3,0.11448,,
724,"electricity, high voltage, at grid",CS,kWh,0,electricity,supply mix,10.7,0.87478,81.8,0.88779,,
725,"electricity, high voltage, at grid",DE,kWh,0,electricity,supply mix,10.85,0.60972,56.2,0.64656,,
726,"electricity, high voltage, at grid",AT,kWh,0,electricity,supply mix,5.95,0.36142,60.7,0.39246,,
727,"electricity, high voltage, at grid",BE,kWh,0,electricity,supply mix,11.35,0.32299,28.5,0.33437,,
728,"electricity, high voltage, at grid",ES,kWh,0,electricity,supply mix,9.49,0.47875,50.4,0.50625,,
729,"electricity, high voltage, at grid",FR,kWh,0,electricity,supply mix,11.65,0.087079,7.5,0.092087,,
730,"electricity, high voltage, at grid",GR,kWh,0,electricity,supply mix,15.34,0.9637,62.8,0.98585,,
731,"electricity, high voltage, at grid",IT,kWh,0,electricity,supply mix,8.86,0.54703,61.7,0.57269,,
732,"electricity, high voltage, at grid",LU,kWh,0,electricity,supply mix,10.44,0.53376,51.1,0.56545,,
733,"electricity, high voltage, at grid",NL,kWh,0,electricity,supply mix,10.68,0.65435,61.3,0.67588,,
734,"electricity, high voltage, at grid",PT,kWh,0,electricity,supply mix,8.61,0.57869,67.2,0.60276,,
735,"electricity, high voltage, at grid",DK,kWh,0,electricity,supply mix,7.91,0.51067,64.6,0.56413,,
736,"electricity, high voltage, at grid",FI,kWh,0,electricity,supply mix,7.66,0.27336,35.7,0.30038,,
737,"electricity, high voltage, at grid",GB,kWh,0,electricity,supply mix,10.51,0.5573,53,0.59057,,
738,"electricity, high voltage, at grid",IE,kWh,0,electricity,supply mix,11.25,0.72618,64.5,0.77184,,
739,"electricity, high voltage, at grid",SE,kWh,0,electricity,supply mix,6.99,0.080584,11.5,0.08856,,
740,"electricity, high voltage, at grid",NO,kWh,0,electricity,supply mix,0.87,0.031245,35.9,0.03579,,
741,"electricity, high voltage, at grid",CZ,kWh,0,electricity,supply mix,11.45,0.78027,68.1,0.80438,,
742,"electricity, high voltage, at grid",HU,kWh,0,electricity,supply mix,13.18,0.58876,44.7,0.62755,,
743,"electricity, high voltage, at grid",PL,kWh,0,electricity,supply mix,13.02,1.049,80.6,1.1112,,
744,"electricity, high voltage, at grid",SK,kWh,0,electricity,supply mix,10.06,0.43082,42.8,0.45733,,
745,"electricity, high voltage, at grid",SI,kWh,0,electricity,supply mix,7.21,0.41414,57.4,0.4306,,
746,"electricity, high voltage, at grid",HR,kWh,0,electricity,supply mix,8.52,0.44777,52.6,0.47353,,
747,"electricity, high voltage, at grid",BA,kWh,0,electricity,supply mix,6.64,0.66605,100.3,0.67548,,
748,"electricity, high voltage, at grid",MK,kWh,0,electricity,supply mix,11.53,0.95313,82.7,0.96479,,
6676,"electricity, high voltage, at grid",BR,kWh,0,electricity,supply mix,1.48,0.17241,116.5,0.21766,,
6679,"electricity, high voltage, at grid",CN,kWh,0,electricity,supply mix,10.48,0.9875,94.2,1.148,,
6682,"electricity, high voltage, at grid",US,kWh,0,electricity,supply mix,12.23,0.71893,58.8,0.7578,,
6685,"electricity, high voltage, at grid",JP,kWh,0,electricity,supply mix,11.59,0.53103,45.8,0.55126,,
7192,"electricity, high voltage, at grid",BG,kWh,0,electricity,supply mix,11.55,0.58403,50.6,0.60326,,
7200,"electricity, high voltage, at grid",RO,kWh,0,electricity,supply mix,9.16,0.63521,69.3,0.66274,,
750,"electricity, low voltage, at grid",AT,kWh,0,electricity,supply mix,6.65,0.40375,60.7,0.44056,,
751,"electricity, low voltage, at grid",BE,kWh,0,electricity,supply mix,12.26,0.3513,28.7,0.36595,,
752,"electricity, low voltage, at grid",CH,kWh,0,electricity,supply mix,8.98,0.12281,13.7,0.13334,,
753,"electricity, low voltage, at grid",ES,kWh,0,electricity,supply mix,11.03,0.55718,50.5,0.59151,,
754,"electricity, low voltage, at grid",CS,kWh,0,electricity,supply mix,13.83,1.129,81.6,1.1485,,
755,"electricity, low voltage, at grid",FR,kWh,0,electricity,supply mix,13.01,0.10093,7.8,0.10779,,
756,"electricity, low voltage, at grid",GR,kWh,0,electricity,supply mix,17.76,1.1153,62.8,1.1434,,
757,"electricity, low voltage, at grid",IT,kWh,0,electricity,supply mix,9.87,0.60905,61.7,0.63991,,
758,"electricity, low voltage, at grid",LU,kWh,0,electricity,supply mix,11.72,0.59971,51.2,0.63757,,
759,"electricity, low voltage, at grid",NL,kWh,0,electricity,supply mix,11.42,0.69951,61.3,0.7248,,
760,"electricity, low voltage, at grid",PT,kWh,0,electricity,supply mix,9.87,0.66261,67.1,0.69253,,
761,"electricity, low voltage, at grid",DE,kWh,0,electricity,supply mix,12,0.67453,56.2,0.7175,,
762,"electricity, low voltage, at grid",DK,kWh,0,electricity,supply mix,8.64,0.55734,64.5,0.61665,,
763,"electricity, low voltage, at grid",FI,kWh,0,electricity,supply mix,8.55,0.30692,35.9,0.33827,,
764,"electricity, low voltage, at grid",GB,kWh,0,electricity,supply mix,12.05,0.63929,53.1,0.68191,,
765,"electricity, low voltage, at grid",IE,kWh,0,electricity,supply mix,12.8,0.82542,64.5,0.88174,,
766,"electricity, low voltage, at grid",SE,kWh,0,electricity,supply mix,7.93,0.094913,12,0.10534,,
767,"electricity, low voltage, at grid",NO,kWh,0,electricity,supply mix,1.05,0.039303,37.4,0.04585,,
768,"electricity, low voltage, at grid",CZ,kWh,0,electricity,supply mix,13.1,0.89233,68.1,0.92232,,
769,"electricity, low voltage, at grid",HU,kWh,0,electricity,supply mix,15.56,0.69614,44.7,0.74433,,
770,"electricity, low voltage, at grid",PL,kWh,0,electricity,supply mix,13.9,1.1188,80.5,1.1874,,
771,"electricity, low voltage, at grid",SK,kWh,0,electricity,supply mix,10.95,0.47019,42.9,0.5013,,
772,"electricity, low voltage, at grid",SI,kWh,0,electricity,supply mix,8.07,0.46385,57.5,0.48461,,
773,"electricity, low voltage, at grid",HR,kWh,0,electricity,supply mix,10.6,0.55771,52.6,0.59225,,
774,"electricity, low voltage, at grid",BA,kWh,0,electricity,supply mix,9.19,0.91806,99.9,0.93392,,
775,"electricity, low voltage, at grid",MK,kWh,0,electricity,supply mix,15.23,1.2567,82.5,1.2749,,
6677,"electricity, low voltage, at grid",BR,kWh,0,electricity,supply mix,1.97,0.22573,114.6,0.28454,,
6680,"electricity, low voltage, at grid",CN,kWh,0,electricity,supply mix,13.19,1.241,94.1,1.4481,,
6683,"electricity, low voltage, at grid",US,kWh,0,electricity,supply mix,13.41,0.78841,58.8,0.83456,,
6686,"electricity, low voltage, at grid",JP,kWh,0,electricity,supply mix,12.65,0.58052,45.9,0.60312,,
7196,"electricity, low voltage, at grid",BG,kWh,0,electricity,supply mix,15.01,0.75931,50.6,0.78698,,
7204,"electricity, low voltage, at grid",RO,kWh,0,electricity,supply mix,11.09,0.76878,69.3,0.80456,,
776,"electricity, medium voltage, aluminium industry, at grid",GLO,kWh,0,electricity,supply mix,6.04,0.32443,53.7,0.34671,,
777,"electricity, medium voltage, at grid",AT,kWh,0,electricity,supply mix,6.01,0.36529,60.8,0.39852,,
778,"electricity, medium voltage, at grid",BE,kWh,0,electricity,supply mix,11.43,0.32564,28.5,0.33898,,
779,"electricity, medium voltage, at grid",CH,kWh,0,electricity,supply mix,8.08,0.10793,13.4,0.11714,,
780,"electricity, medium voltage, at grid",ES,kWh,0,electricity,supply mix,9.63,0.48573,50.4,0.51548,,
781,"electricity, medium voltage, at grid",CS,kWh,0,electricity,supply mix,10.96,0.89577,81.7,0.91097,,
782,"electricity, medium voltage, at grid",FR,kWh,0,electricity,supply mix,11.77,0.088449,7.5,0.094361,,
783,"electricity, medium voltage, at grid",GR,kWh,0,electricity,supply mix,15.56,0.97703,62.8,1.0014,,
784,"electricity, medium voltage, at grid",IT,kWh,0,electricity,supply mix,8.95,0.55263,61.7,0.58042,,
785,"electricity, medium voltage, at grid",LU,kWh,0,electricity,supply mix,10.55,0.53972,51.2,0.57362,,
786,"electricity, medium voltage, at grid",NL,kWh,0,electricity,supply mix,10.75,0.65846,61.3,0.682,,
787,"electricity, medium voltage, at grid",PT,kWh,0,electricity,supply mix,8.72,0.58621,67.2,0.61246,,
788,"electricity, medium voltage, at grid",DE,kWh,0,electricity,supply mix,10.96,0.6156,56.2,0.65465,,
789,"electricity, medium voltage, at grid",DK,kWh,0,electricity,supply mix,7.98,0.51497,64.5,0.56979,,
790,"electricity, medium voltage, at grid",FI,kWh,0,electricity,supply mix,7.73,0.2759,35.7,0.3041,,
791,"electricity, medium voltage, at grid",GB,kWh,0,electricity,supply mix,10.65,0.56461,53,0.60201,,
792,"electricity, medium voltage, at grid",IE,kWh,0,electricity,supply mix,11.39,0.73504,64.5,0.78495,,
793,"electricity, medium voltage, at grid",SE,kWh,0,electricity,supply mix,7.07,0.081986,11.6,0.091023,,
794,"electricity, medium voltage, at grid",NO,kWh,0,electricity,supply mix,0.89,0.032098,36.1,0.037665,,
795,"electricity, medium voltage, at grid",CZ,kWh,0,electricity,supply mix,11.6,0.79023,68.1,0.81652,,
796,"electricity, medium voltage, at grid",HU,kWh,0,electricity,supply mix,13.38,0.59816,44.7,0.63943,,
797,"electricity, medium voltage, at grid",PL,kWh,0,electricity,supply mix,13.1,1.0553,80.6,1.1197,,
798,"electricity, medium voltage, at grid",SK,kWh,0,electricity,supply mix,10.14,0.43444,42.8,0.46302,,
799,"electricity, medium voltage, at grid",SI,kWh,0,electricity,supply mix,7.29,0.41868,57.4,0.43718,,
800,"electricity, medium voltage, at grid",HR,kWh,0,electricity,supply mix,8.7,0.45715,52.5,0.48531,,
801,"electricity, medium voltage, at grid",BA,kWh,0,electricity,supply mix,6.87,0.68841,100.2,0.70004,,
802,"electricity, medium voltage, at grid",MK,kWh,0,electricity,supply mix,11.87,0.9809,82.6,0.99479,,
6678,"electricity, medium voltage, at grid",BR,kWh,0,electricity,supply mix,1.52,0.17695,116.4,0.22354,,
6681,"electricity, medium voltage, at grid",CN,kWh,0,electricity,supply mix,10.59,0.99789,94.2,1.1643,,
6684,"electricity, medium voltage, at grid",US,kWh,0,electricity,supply mix,12.36,0.72664,58.8,0.76891,,
6687,"electricity, medium voltage, at grid",JP,kWh,0,electricity,supply mix,11.69,0.53558,45.8,0.55626,,
7194,"electricity, medium voltage, at grid",BG,kWh,0,electricity,supply mix,11.84,0.5985,50.5,0.62008,,
7202,"electricity, medium voltage, at grid",RO,kWh,0,electricity,supply mix,9.32,0.64672,69.4,0.67661,,
10160,"CD-ROM/DVD-ROM drive, desktop computer, at plant",GLO,unit,0,electronics,component,296.58,16.322,55,17.513,,
10161,"CD-ROM/DVD-ROM drive, laptop computer, at plant",GLO,unit,0,electronics,component,93.37,5.0447,54,5.4104,,
10167,"LCD glass, at plant",GLO,kg,0,electronics,component,67.21,4.0826,60.7,4.3818,,
7096,"backlight, LCD screen, at plant",GLO,kg,0,electronics,component,190.42,10.354,54.4,11.961,,
7017,"cable, connector for computer, without plugs, at plant",GLO,m,0,electronics,component,9.22,0.43464,47.1,0.46984,,
7099,"cable, data cable in infrastructure, at plant",GLO,m,0,electronics,component,4.91,0.17549,35.7,0.19671,,
7019,"cable, network cable, category 5, without plugs, at plant",GLO,m,0,electronics,component,8.8,0.48005,54.6,0.51371,,
7059,"cable, printer cable, without plugs, at plant",GLO,m,0,electronics,component,9.34,0.45018,48.2,0.48728,,
7116,"cable, ribbon cable, 20-pin, with plugs, at plant",GLO,kg,0,electronics,component,206.3,9.754,47.3,10.636,,
7098,"cable, three-conductor cable, at plant",GLO,m,0,electronics,component,82.51,2.9949,36.3,3.3315,,
7010,"capacitor, SMD type, surface-mounting, at plant",GLO,kg,0,electronics,component,1076.44,55.862,51.9,59.776,,
7013,"capacitor, Tantalum-, through-hole mounting, at plant",GLO,kg,0,electronics,component,3306.29,177.81,53.8,203.11,,
7011,"capacitor, electrolyte type, < 2cm height, at plant",GLO,kg,0,electronics,component,918.84,46.729,50.9,50.915,,
7012,"capacitor, electrolyte type, > 2cm height, at plant",GLO,kg,0,electronics,component,867.08,43.992,50.7,48.051,,
7009,"capacitor, film, through-hole mounting, at plant",GLO,kg,0,electronics,component,1063.21,49.22,46.3,53.107,,
7014,"capacitor, unspecified, at plant",GLO,kg,0,electronics,component,1446.33,74.722,51.7,82.991,,
7081,"connector, PCI bus, at plant",GLO,kg,0,electronics,component,646.09,37.069,57.4,40.39,,
7082,"connector, clamp connection, at plant",GLO,kg,0,electronics,component,174.29,9.1532,52.5,10.093,,
10162,"connector, computer, peripherical type, at plant",GLO,kg,0,electronics,component,150.69,7.6006,50.4,8.2416,,
7075,"diode, glass-, SMD type, surface mounting, at plant",GLO,kg,0,electronics,component,4451.8,219.18,49.2,231.65,,
7076,"diode, glass-, through-hole mounting, at plant",GLO,kg,0,electronics,component,4440.3,218.56,49.2,230.92,,
7111,"diode, unspecified, at plant",GLO,kg,0,electronics,component,4444.1,218.76,49.2,231.16,,
7062,"electrode, positive, LaNi5, at plant",GLO,kg,0,electronics,component,363.72,16.441,45.2,26.149,,
7061,"electrolyte, KOH, LiOH additive, at plant",GLO,kg,0,electronics,component,27.73,1.3522,48.8,1.4267,,
7087,"electron gun, for CRT tube production, at plant",GLO,kg,0,electronics,component,123.26,7.1078,57.7,7.7003,,
10164,"electronic component, active, unspecified, at plant",GLO,kg,0,electronics,component,11698.8,697.39,59.6,737.26,,
10163,"electronic component, passive, unspecified, at plant",GLO,kg,0,electronics,component,895.55,47.088,52.6,51.673,,
7065,"electronic component, unspecified, at plant",GLO,kg,0,electronics,component,4460.7,261.69,58.7,277.92,,
7090,"ferrite, at plant",GLO,kg,0,electronics,component,26.04,1.4125,54.2,1.5133,,
7086,"frit, for CRT tube production, at plant",GLO,kg,0,electronics,component,22.94,1.2884,56.2,1.3749,,
7085,"funnel glass, CRT screen, at plant",GLO,kg,0,electronics,component,18.81,1.0139,53.9,1.0809,,
10156,"inductor, low value multilayer chip type, LMCI, at plant",GLO,kg,0,electronics,component,1341.42,79.345,59.2,84.247,,
10155,"inductor, miniature RF chip type, MRFI, at plant",GLO,kg,0,electronics,component,964.95,51.239,53.1,54.567,,
7067,"inductor, ring core choke type, at plant",GLO,kg,0,electronics,component,788.46,40.181,51,43.733,,
10154,"inductor, unspecified, at plant",GLO,kg,0,electronics,component,1031.59,56.921,55.2,60.849,,
7016,"integrated circuit, IC, logic type, at plant",GLO,kg,0,electronics,component,15374.8,958.44,62.3,1014.3,,
7015,"integrated circuit, IC, memory type, at plant",GLO,kg,0,electronics,component,9117,482.07,52.9,507.49,,
7077,"light emitting diode, LED, at plant",GLO,kg,0,electronics,component,4440.3,218.56,49.2,230.92,,
7106,"panel components, at plant",GLO,kg,0,electronics,component,2330.21,150.81,64.7,167.7,,
7084,"panel glass, CRT screen, at plant",GLO,kg,0,electronics,component,20.88,1.1806,56.5,1.2506,,
7018,"plugs, inlet and outlet, for computer cable, at plant",GLO,unit,0,electronics,component,7.5,0.34606,46.1,0.37648,,
7020,"plugs, inlet and outlet, for network cable, at plant",GLO,unit,0,electronics,component,1.14,0.053178,46.6,0.058644,,
7060,"plugs, inlet and outlet, for printer cable, at plant",GLO,unit,0,electronics,component,12.29,0.52126,42.4,0.58241,,
7071,"potentiometer, unspecified, at plant",GLO,kg,0,electronics,component,635.89,33.597,52.8,36.712,,
7117,"power adapter, for laptop, at plant",GLO,unit,0,electronics,component,73.79,4.4663,60.5,4.8142,,
7108,"production efforts, capacitors",GLO,kg,0,electronics,component,709.48,35.648,50.2,37.858,,
7112,"production efforts, diodes",GLO,kg,0,electronics,component,4393.1,215.91,49.1,228.01,,
10157,"production efforts, inductor",GLO,kg,0,electronics,component,670.37,33.599,50.1,35.69,,
7110,"production efforts, resistors",GLO,kg,0,electronics,component,527.48,27.528,52.2,29.172,,
7114,"production efforts, transistors",GLO,kg,0,electronics,component,2351.31,117.9,50.1,124.2,,
7068,"resistor, SMD type, surface mounting, at plant",GLO,kg,0,electronics,component,2151.43,123.77,57.5,132.44,,
7069,"resistor, metal film type, through-hole mounting, at plant",GLO,kg,0,electronics,component,592.32,31.113,52.5,33.023,,
7070,"resistor, unspecified, at plant",GLO,kg,0,electronics,component,982.95,54.36,55.3,58.221,,
7109,"resistor, wirewound, through-hole mounting, at plant",GLO,kg,0,electronics,component,552.14,28.963,52.5,30.71,,
7074,"switch, toggle type, at plant",GLO,kg,0,electronics,component,251.19,14.163,56.4,15.326,,
7073,"transformer, high voltage use, at plant",GLO,kg,0,electronics,component,100.08,4.9593,49.6,5.5851,,
7072,"transformer, low voltage use, at plant",GLO,kg,0,electronics,component,63.22,3.3963,53.7,3.811,,
7078,"transistor, SMD type, surface mounting, at plant",GLO,kg,0,electronics,component,2758.63,138.74,50.3,147.09,,
7080,"transistor, unspecified, at plant",GLO,kg,0,electronics,component,2750.48,138.33,50.3,146.8,,
7113,"transistor, wired, big size, through-hole mounting, at plant",GLO,kg,0,electronics,component,2751.53,138.28,50.3,147.16,,
7079,"transistor, wired, small size, through-hole mounting, at plant",GLO,kg,0,electronics,component,2741.21,137.97,50.3,146.15,,
7115,"wafer, fabricated, for integrated circuit, at plant",GLO,m2,0,electronics,component,746960,67065,89.8,71100,,
6992,"CRT screen, 17 inches, at plant",GLO,unit,0,electronics,devices,4538.7,253.68,55.9,273.81,,
6993,"LCD flat screen, 17 inches, at plant",GLO,unit,0,electronics,devices,3463.65,220.99,63.8,395.89,,
6991,"desktop computer, without screen, at plant",GLO,unit,0,electronics,devices,4481.4,255.78,57.1,274.35,,
6997,"keyboard, standard version, at plant",GLO,unit,0,electronics,devices,441.1,25.31,57.4,27.275,,
6994,"laptop computer, at plant",GLO,unit,0,electronics,devices,2781.03,168.96,60.8,250.66,,
6998,"mouse device, optical, with cable, at plant",GLO,unit,0,electronics,devices,87.36,4.9611,56.8,5.293,,
6995,"printer, laser jet, b/w, at plant",GLO,unit,0,electronics,devices,839.55,49.033,58.4,67.919,,
6996,"printer, laser jet, colour, at plant",GLO,unit,0,electronics,devices,842.21,49.086,58.3,67.983,,
10158,"HDD, desktop computer, at plant",GLO,unit,0,electronics,module,195.84,11.149,56.9,12.382,,
10159,"HDD, laptop computer, at plant",GLO,unit,0,electronics,module,59.63,3.2704,54.8,3.5904,,
10142,"ITO powder, for target production, at plant",RER,kg,0,electronics,module,351.51,20.294,57.7,21.628,,
10146,"ITO, sintered target, at plant",RER,kg,0,electronics,module,560,32.91,58.8,34.943,,
7000,"LCD module, at plant",GLO,kg,0,electronics,module,885.09,55.904,63.2,103.3,,
7105,"assembly, LCD module",GLO,kg,0,electronics,module,503.92,33.752,67,79.233,,
10169,"assembly, LCD screen",GLO,kg,0,electronics,module,133,10.094,75.9,22.238,,
7003,"battery, LiIo, rechargeable, prismatic, at plant",GLO,kg,0,electronics,module,868.9,75.397,86.8,99.496,,
7001,"battery, NiMH, rechargeable, prismatic, at plant",GLO,kg,0,electronics,module,878.89,50,56.9,57.403,,
6999,"cathode-ray tube, CRT screen, at plant",GLO,kg,0,electronics,module,117,6.9483,59.4,7.4287,,
7063,"electrode, negative, LiC6, at plant",GLO,kg,0,electronics,module,54.66,2.9711,54.4,3.4172,,
7066,"electrode, negative, Ni, at plant",GLO,kg,0,electronics,module,1074.36,51.907,48.3,55.564,,
7064,"electrode, positive, LiMn2O4, at plant",GLO,kg,0,electronics,module,454.97,8.6242,19,10.337,,
10806,"fan, at plant",GLO,kg,0,electronics,module,241.45,10.864,45,11.893,,
7118,"magnetite, at plant",GLO,kg,0,electronics,module,15.65,0.7793,49.8,0.82502,,
7121,"mischmetal, primary, at plant",GLO,kg,0,electronics,module,335.65,16.289,48.5,17.213,,
10786,"mounting, surface mount technology, Pb-containing solder",GLO,m2,0,electronics,module,104.61,5.6594,54.1,6.0975,,
10788,"mounting, surface mount technology, Pb-free solder",GLO,m2,0,electronics,module,126.87,6.836,53.9,7.3423,,
10787,"mounting, through-hole technology, Pb-containing solder",GLO,m2,0,electronics,module,1647.59,78.161,47.4,82.553,,
10789,"mounting, through-hole technology, Pb-free solder",GLO,m2,0,electronics,module,930.72,45.19,48.6,47.845,,
10805,"power supply unit, at plant",CN,unit,0,electronics,module,537.42,27.386,51,29.802,,
7101,"printed wiring board, mixed mounted, unspec., solder mix, at plant",GLO,kg,0,electronics,module,2529.62,146.01,57.7,155.3,,
10794,"printed wiring board, mounted, Desktop PC mainboard, Pb containing, at plant",GLO,kg,0,electronics,module,2667.98,152.1,57,162.28,,
10796,"printed wiring board, mounted, Desktop PC mainboard, Pb free, at plant",GLO,kg,0,electronics,module,2661.56,151.88,57.1,162.04,,
7102,"printed wiring board, mounted, Desktop PC mainboard, at plant",GLO,kg,0,electronics,module,2663.54,151.94,57,162.11,,
10795,"printed wiring board, mounted, Laptop PC mainboard, Pb containing, at plant",GLO,kg,0,electronics,module,4414.4,253.06,57.3,267.87,,
10797,"printed wiring board, mounted, Laptop PC mainboard, Pb free, at plant",GLO,kg,0,electronics,module,4403,252.66,57.4,267.45,,
7103,"printed wiring board, mounted, Laptop PC mainboard, at plant",GLO,kg,0,electronics,module,4406.4,252.78,57.4,267.58,,
10802,"printed wiring board, power supply unit desktop PC, Pb containing, at plant",GLO,kg,0,electronics,module,774.63,39.6,51.1,43.023,,
10803,"printed wiring board, power supply unit desktop PC, Pb free, at plant",GLO,kg,0,electronics,module,739.33,37.977,51.4,41.314,,
10804,"printed wiring board, power supply unit desktop PC, solder mix, at plant",GLO,kg,0,electronics,module,749.92,38.464,51.3,41.827,,
7008,"printed wiring board, surface mount, at plant",GLO,m2,0,electronics,module,5141.7,265.23,51.6,281.95,,
10996,"printed wiring board, surface mount, lead-containing surface, at plant",GLO,m2,0,electronics,module,5126.7,264.31,51.6,280.96,,
10995,"printed wiring board, surface mount, lead-free surface, at plant",GLO,m2,0,electronics,module,5156.8,266.16,51.6,282.94,,
10780,"printed wiring board, surface mounted, unspec., Pb containing, at plant",GLO,kg,0,electronics,module,4031.6,236.97,58.8,251.18,,
10791,"printed wiring board, surface mounted, unspec., Pb free, at plant",GLO,kg,0,electronics,module,4043.7,237.68,58.8,251.93,,
10790,"printed wiring board, surface mounted, unspec., solder mix, at plant",GLO,kg,0,electronics,module,4040.1,237.46,58.8,251.71,,
10781,"printed wiring board, through-hole mounted, unspec., Pb containing, at plant",GLO,kg,0,electronics,module,1048.49,55.899,53.3,60.318,,
10792,"printed wiring board, through-hole mounted, unspec., Pb free, at plant",GLO,kg,0,electronics,module,1006.61,53.973,53.6,58.291,,
10793,"printed wiring board, through-hole mounted, unspec., solder mix, at plant",GLO,kg,0,electronics,module,1019.18,54.551,53.5,58.899,,
7007,"printed wiring board, through-hole, at plant",GLO,m2,0,electronics,module,1917.12,96.455,50.3,106.36,,
10998,"printed wiring board, through-hole, lead-containing surface, at plant",GLO,m2,0,electronics,module,1917.39,96.468,50.3,106.37,,
10997,"printed wiring board, through-hole, lead-free surface, at plant",GLO,m2,0,electronics,module,1916.75,96.442,50.3,106.35,,
10962,"sputtering, ITO, for LCD",RER,m3,0,electronics,module,342200000,16399000,47.9,17294000,,
7005,"toner module, laser jet, b/w, at plant",GLO,unit,0,electronics,module,198.29,8.8577,44.7,9.8126,,
7006,"toner module, laser jet, colour, at plant",GLO,unit,0,electronics,module,200.96,8.9112,44.3,9.8766,,
7119,"toner, black, powder, at plant",GLO,kg,0,electronics,module,137.89,5.1426,37.3,5.4897,,
7057,"toner, black, used for printing",RER,kg,0,electronics,module,794.85,40.24,50.6,43.894,,
7120,"toner, colour, powder, at plant",GLO,kg,0,electronics,module,148.13,5.3484,36.1,5.7359,,
7058,"toner, colour, used for printing",RER,kg,0,electronics,module,805.65,37.567,46.6,41.261,,
7022,"use, computer, desktop with CRT monitor, active mode",CH,h,0,electronics,services,1.58,0.031425,19.9,0.033984,,
7036,"use, computer, desktop with CRT monitor, active mode",RER,h,0,electronics,services,2.02,0.09734,48.2,0.10287,,
7025,"use, computer, desktop with CRT monitor, home use",CH,h,0,electronics,services,0.48,0.016482,34.3,0.017759,,
7039,"use, computer, desktop with CRT monitor, home use",RER,h,0,electronics,services,0.57,0.028932,50.8,0.030772,,
7024,"use, computer, desktop with CRT monitor, off mode",CH,h,0,electronics,services,0.27,0.013617,50.4,0.014649,,
7038,"use, computer, desktop with CRT monitor, off mode",RER,h,0,electronics,services,0.29,0.015815,54.5,0.016945,,
6980,"use, computer, desktop with CRT monitor, office use",CH,h,0,electronics,services,0.6,0.018108,30.2,0.019524,,
7023,"use, computer, desktop with CRT monitor, standby/sleep mode",CH,h,0,electronics,services,0.63,0.01853,29.4,0.019983,,
7037,"use, computer, desktop with CRT monitor, standby/sleep mode",RER,h,0,electronics,services,0.77,0.038304,49.7,0.04065,,
7026,"use, computer, desktop with LCD monitor, active mode",CH,h,0,electronics,services,0.97,0.022816,23.5,0.027635,,
7040,"use, computer, desktop with LCD monitor, active mode",RER,h,0,electronics,services,1.23,0.060168,48.9,0.066673,,
7029,"use, computer, desktop with LCD monitor, home use",CH,h,0,electronics,services,0.36,0.01447,40.2,0.018573,,
7043,"use, computer, desktop with LCD monitor, home use",RER,h,0,electronics,services,0.41,0.021964,53.6,0.026405,,
7028,"use, computer, desktop with LCD monitor, off mode",CH,h,0,electronics,services,0.24,0.012807,53.4,0.016767,,
7042,"use, computer, desktop with LCD monitor, off mode",RER,h,0,electronics,services,0.25,0.014345,57.4,0.018375,,
7027,"use, computer, desktop with LCD monitor, sleep/standby mode",CH,h,0,electronics,services,0.48,0.016062,33.5,0.020301,,
7041,"use, computer, desktop with LCD monitor, sleep/standby mode",RER,h,0,electronics,services,0.57,0.029245,51.3,0.034079,,
7021,"use, computer, desktop, mix, home use",CH,h,0,electronics,services,0.41,0.015195,37.1,0.01828,,
7035,"use, computer, desktop, mix, home use",RER,h,0,electronics,services,0.47,0.024473,52.1,0.027977,,
6979,"use, computer, desktop, mix, office use",CH,h,0,electronics,services,0.49,0.016357,33.4,0.019542,,
6985,"use, computer, desktop, mix, office use",RER,h,0,electronics,services,0.58,0.02979,51.4,0.033582,,
6986,"use, computer, desktop, with CRT monitor, office use",RER,h,0,electronics,services,0.73,0.036372,49.8,0.038613,,
6981,"use, computer, desktop, with LCD monitor, office use",CH,h,0,electronics,services,0.43,0.015372,35.7,0.019552,,
6987,"use, computer, desktop, with LCD monitor, office use",RER,h,0,electronics,services,0.5,0.026088,52.2,0.030752,,
7030,"use, computer, laptop, active mode",CH,h,0,electronics,services,0.25,0.0071572,28.6,0.009689,,
7044,"use, computer, laptop, active mode",RER,h,0,electronics,services,0.31,0.015506,50,0.018415,,
7032,"use, computer, laptop, off mode",CH,h,0,electronics,services,0.09,0.005008,55.6,0.0073555,,
7046,"use, computer, laptop, off mode",RER,h,0,electronics,services,0.1,0.0056671,56.7,0.0080444,,
