,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
83,"carbofuran, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,388.65,12.166,31.3,12.887,,
84,"cyanazine, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,191.93,5.102,26.6,5.4977,,
85,"cyanazine, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,188.78,4.7129,25,5.1115,,
86,"cyclic N-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,135.4,4.6989,34.7,4.9704,,
87,"cyclic N-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,132.05,4.2486,32.2,4.5168,,
88,"dicamba, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,267.66,8.0862,30.2,8.6407,,
89,"dicamba, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,261.02,7.1793,27.5,7.7205,,
90,"dinitroaniline-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,132.38,4.3533,32.9,4.5943,,
91,"dinitroaniline-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,128.52,3.8206,29.7,4.0489,,
92,"diphenylether-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,447.76,17.767,39.7,18.627,,
93,"diphenylether-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,434.76,16.048,36.9,16.915,,
94,"dithiocarbamate-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,91.48,2.7272,29.8,2.9567,,
95,"dithiocarbamate-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,89.86,2.5219,28.1,2.7516,,
96,"diuron, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,249.79,6.5183,26.1,7.0144,,
97,"diuron, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,243.67,5.6935,23.4,6.1685,,
98,"glyphosate, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,394.12,15.049,38.2,15.938,,
