Per serving,,,,,,,,,,,,,,,,,,,,,
Foodcode,Foodcode Description,Main Group Description,Category Description,Increase in saturated fats,Increase in calcium - detrimental (male),Increase in calcium - protective,Increase in fiber with mediation,Increase in fiber,Increase in fruits,Increase in milk,Increase in nuts and seeds,Increase in polyunsaturated fatty acids,Increase in processed meat,Increase in red meat,Increase in seafood omega-3 fatty acids,Increase in sodium,Increase in sugar-sweetened beverages,Increase in trans fatty acids,Increase in vegetables,Increase in whole grains,Total
58100160,"Burrito with beef, beans, rice, and cheese",Mixed Dishes,Burritos and tacos,-4.828868811731633,-0.5358727055146437,1.4234010090023717,0,0,0,2.083479641732213,0,0.1567094562374894,0,0,0,-0.8352493672333565,0,-0.3844166373692004,0,0,-2.9208174148767596
